"class","category","indicator_name","series_name","sub_series_name","parameter","value","units","date_last_updated"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2008-09-01","0.585510249064483","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2008-10-01","-0.23059000068131","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2008-11-01","-2.30150035712087","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2008-12-01","-1.54258141017013","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2009-01-01","-2.04060293582967","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2009-02-01","-2.99783706144752","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2009-03-01","-2.4050994594034","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2009-04-01","-1.89090465714159","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2009-05-01","-1.65932119077138","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2009-06-01","-0.0925407562735159","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2009-07-01","-0.127329932754726","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2009-08-01","-0.70816830996871","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2009-09-01","0.430465248477405","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2009-10-01","0.586513881564839","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2009-11-01","1.39965759892142","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2009-12-01","2.18266828141545","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2010-01-01","1.96377430580897","Annual % change","27-07-23"
